220.181.108.144 - - [09/Mar/2018:16:10:55 -0800] "GET /projects/pdfs/Bobs_Warehouse.pdf HTTP/1.1" 200 131758 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.claengineers.com"
137.74.92.77 - - [09/Mar/2018:21:35:20 -0800] "GET /contact.html HTTP/1.1" 200 6962 "-" "Barkrowler/0.7 (+http://www.exensa.com/crawl)" "www.claengineers.com"
199.30.24.174 - - [09/Mar/2018:21:45:46 -0800] "GET /css/main.css HTTP/1.1" 200 4257 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "claengineers.com"
199.30.24.174 - - [09/Mar/2018:21:45:46 -0800] "GET /css/jqueryslidemenu.css HTTP/1.1" 200 1962 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "claengineers.com"
199.30.24.174 - - [09/Mar/2018:21:45:47 -0800] "GET /scripts/jqueryslidemenu.js HTTP/1.1" 200 2039 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "claengineers.com"
199.30.24.174 - - [09/Mar/2018:21:45:47 -0800] "GET /scripts/multipleemail.js HTTP/1.1" 200 1209 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "claengineers.com"
66.249.69.226 - - [09/Mar/2018:22:54:30 -0800] "GET /services/images/Marinaboat.jpg HTTP/1.1" 200 10168 "-" "Googlebot-Image/1.0" "www.claengineers.com"
129.78.110.124 - - [09/Mar/2018:22:55:48 -0800] "GET / HTTP/1.1" 200 7070 "-" "-" "www.claengineers.com"
187.110.217.97 - - [09/Mar/2018:23:28:35 -0800] "GET /wp-login.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.claengineers.com"
187.110.217.97 - - [09/Mar/2018:23:28:35 -0800] "GET / HTTP/1.1" 200 7070 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.claengineers.com"
151.80.39.205 - - [10/Mar/2018:00:00:49 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)" "claengineers.com"
54.36.148.179 - - [10/Mar/2018:00:00:50 -0800] "GET /services/geotech-eng.html HTTP/1.1" 200 6757 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)" "claengineers.com"
46.161.9.56 - - [10/Mar/2018:01:18:58 -0800] "GET /contact.html HTTP/1.1" 200 6962 "http://www.claengineers.com/contact.html" "Mozilla/5.0 (Windows NT 7.0; rv:33.1) Gecko/20100101 Firefox/33.1" "www.claengineers.com"
46.161.9.56 - - [10/Mar/2018:01:18:59 -0800] "GET /contact.html HTTP/1.1" 200 6962 "http://www.claengineers.com/contact.html" "Mozilla/5.0 (Windows NT 7.0; rv:33.1) Gecko/20100101 Firefox/33.1" "www.claengineers.com"
54.36.148.48 - - [10/Mar/2018:01:22:27 -0800] "GET /services/geotech-eng.html HTTP/1.1" 200 6757 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)" "www.claengineers.com"
100.43.85.119 - - [10/Mar/2018:01:27:20 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.claengineers.com"
100.43.81.122 - - [10/Mar/2018:01:27:24 -0800] "GET / HTTP/1.1" 200 7070 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET / HTTP/1.1" 200 7070 "-" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /css/main.css HTTP/1.1" 200 4257 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /css/jqueryslidemenu.css HTTP/1.1" 200 1962 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /scripts/jqueryslidemenu.js HTTP/1.1" 200 2039 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /scripts/jquery.min.js HTTP/1.1" 200 55740 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /scripts/multipleemail.js HTTP/1.1" 200 1209 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/header_03.jpg HTTP/1.1" 200 7077 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/titleArt.gif HTTP/1.1" 200 300 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/header_02.gif HTTP/1.1" 200 2048 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/header_01.jpg HTTP/1.1" 200 43473 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/leftcolspacer.gif HTTP/1.1" 200 85 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/verMenuImages.png HTTP/1.1" 200 911 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/nfafield.jpg HTTP/1.1" 200 21393 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/contact.jpg HTTP/1.1" 200 3588 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/visa_mastercard_2.gif HTTP/1.1" 200 1384 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/survey2.jpg HTTP/1.1" 200 6376 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
138.197.39.254 - - [10/Mar/2018:01:44:49 -0800] "GET /images/sitetag.gif HTTP/1.1" 200 1069 "http://claengineers.com/" "Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1" "claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:47:36 -0800] "GET / HTTP/1.1" 200 7070 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:47:46 -0800] "GET /career.html HTTP/1.1" 200 5906 "-" "8LEGS" "www.claengineers.com"
216.244.66.197 - - [10/Mar/2018:01:49:22 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:17 -0800] "GET /services/marine.html HTTP/1.1" 200 5968 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:23 -0800] "GET /services/water_sewer.html HTTP/1.1" 200 6552 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:29 -0800] "GET /services/structural.html HTTP/1.1" 200 8018 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:33 -0800] "GET /services/index.html HTTP/1.1" 200 6307 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:36 -0800] "GET /services/town.html HTTP/1.1" 200 8019 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:39 -0800] "GET /services/surveying.html HTTP/1.1" 200 6113 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:40 -0800] "GET /about/links.html HTTP/1.1" 200 6126 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:44 -0800] "GET /services/wetlands.html HTTP/1.1" 200 8161 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:47 -0800] "GET /services/bridges.html HTTP/1.1" 200 6168 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:51 -0800] "GET /projects/index.html HTTP/1.1" 200 15421 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:54 -0800] "GET /index.html HTTP/1.1" 200 7070 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:58 -0800] "GET /about/index.html HTTP/1.1" 200 6360 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:55:59 -0800] "GET /services/gps_gis.html HTTP/1.1" 200 6705 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:56:01 -0800] "GET /contact.html HTTP/1.1" 200 6962 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:56:03 -0800] "GET /services/civil.html HTTP/1.1" 200 7298 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:56:04 -0800] "GET /services/geotech-eng.html HTTP/1.1" 200 6757 "-" "8LEGS" "www.claengineers.com"
167.114.103.130 - - [10/Mar/2018:01:56:08 -0800] "GET /about/staff.html HTTP/1.1" 200 7455 "-" "8LEGS" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:04 -0800] "GET /contact.html HTTP/1.1" 200 6962 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:04 -0800] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:04 -0800] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:04 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
32.216.77.84 - - [10/Mar/2018:02:04:05 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "MobileSafari/604.1 CFNetwork/894 Darwin/17.4.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:38 -0800] "GET / HTTP/1.1" 200 7070 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:38 -0800] "GET /%22%20+%20gaJsHost%20+%20%22google-analytics.com/ga.js HTTP/1.1" 404 89 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:39 -0800] "GET /about/index.html HTTP/1.1" 200 6360 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:39 -0800] "GET /about/links.html HTTP/1.1" 200 6126 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:39 -0800] "GET /about/staff.html HTTP/1.1" 200 7455 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:40 -0800] "GET /career.html HTTP/1.1" 200 5906 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:40 -0800] "GET /contact.html HTTP/1.1" 200 6962 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:40 -0800] "GET /index.html HTTP/1.1" 200 7070 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
10.247.27.197 - - [10/Mar/2018:02:10:40 -0800] "GET /projects/index.html HTTP/1.1" 200 15421 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:41 -0800] "GET /scripts/jquery.min.js HTTP/1.1" 200 55740 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
37.49.224.208 - - [10/Mar/2018:02:10:41 -0800] "GET /scripts/jqueryslidemenu.js HTTP/1.1" 200 2039 "http://www.claengineers.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" "www.claengineers.com"
